emp_id,year_month,shift_type,votes_used
D1409,202602,3000,2
K19041,202602,3000,2
K12896,202602,3000,2
K18736,202602,3000,2
K17184,202602,3000,2
F2568,202602,3000,2
K03007,202602,3000,2
K18251,202604,2000,1
