emp_id,year_month,shift_type,votes_used
K19041,202601,3000,2
K12896,202601,3000,2
K21240,202601,3000,2
K18251,202601,2000,3
F1908,202601,2000,3
K02474,202601,2000,4
K14093,202601,3000,1
C9228,202601,3000,2
D1442,202601,2000,1
F3262,202601,2000,4
F2568,202601,3000,2
F1350,202601,3000,2
K13080,202601,3000,2
K12601,202601,3000,2
K03987,202601,2000,3
K19505,202601,2000,1
K21311,202601,3000,2
K03007,202601,3000,2
F8950,202601,3000,2
G6777,202601,3000,2
